rms_err,energy,J_cost,N_tx,N_tx_attempt,tx_rate,tx_attempt_rate,bits_used,avg_qerr,failed,delta
12562.48141141036,7831.204449118477,3148441854922.1875,1758,2000,0.879,1.0,192000,37779971.873493865,1,0.01
12552.93906877957,7856.657507400387,3143700991589.1826,1750,2000,0.875,1.0,192000,38063854.081989184,1,0.01
12382.881066888776,7862.249982904923,3059032949571.4585,1764,2000,0.882,1.0,192000,40336196.11171599,1,0.01
12538.733476572428,7860.027168750169,3136581514404.549,1681,2000,0.8405,1.0,192000,40017582.050433524,1,0.01
12463.997524925084,7823.411519221973,3099298582165.033,1714,2000,0.857,1.0,192000,39251234.14737762,1,0.01
12413.508693708007,7858.271467943002,3074191524136.0645,1753,2000,0.8765,1.0,192000,39813175.86973389,1,0.01
12546.905697233105,7858.755014050292,3140648662294.644,1767,2000,0.8835,1.0,192000,39473834.879108146,1,0.01
12566.699953069177,7819.046884801846,3150586309744.278,1770,2000,0.885,1.0,192000,40667184.86395287,1,0.01
12583.729972835632,7865.160351918326,3159119157820.482,1741,2000,0.8705,1.0,192000,38515801.247572444,1,0.01
12564.903218213753,7828.249200945613,3149703227509.5728,1788,2000,0.894,1.0,192000,39056283.74561369,1,0.01
12516.267624844859,7889.675471035324,3125313570648.7437,1687,2000,0.8435,1.0,192000,39455544.25496591,1,0.01
12477.07454902284,7881.358641945496,3105806984136.0054,1723,2000,0.8615,1.0,192000,41145080.16050446,1,0.01
12522.288465572492,7835.642761617601,3128321575666.37,1752,2000,0.876,1.0,192000,40661852.98957881,1,0.01
12503.549448720612,7861.9733977050955,3118993165778.7827,1751,2000,0.8755,1.0,192000,39768029.484195225,1,0.01
12572.580182579844,7870.98036152189,3153505403632.7393,1737,2000,0.8685,1.0,192000,37835570.821749,1,0.01
12590.992839892451,7850.30657091009,3162745555254.727,1727,2000,0.8635,1.0,192000,38677717.3044809,1,0.01
12578.075602089835,7867.531826232539,3156321958766.219,1737,2000,0.8685,1.0,192000,40215020.011030875,1,0.01
12555.692695125117,7831.410973023203,3145099313241.6543,1769,2000,0.8845,1.0,192000,38762687.8989264,1,0.01
12541.785037205736,7862.565347210402,3138083579539.938,1727,2000,0.8635,1.0,192000,40856333.53175441,1,0.01
12531.547206226716,7862.519688658655,3132994092432.3477,1738,2000,0.869,1.0,192000,40645636.1301173,1,0.01
12579.015234527333,7865.45410926775,3156774102157.313,1808,2000,0.904,1.0,192000,39234047.69270021,1,0.01
12541.883598248278,7799.959315201088,3138154687312.532,1788,2000,0.894,1.0,192000,39936511.821705565,1,0.01
12404.435788277198,7862.856988153915,3069692821402.264,1691,2000,0.8455,1.0,192000,36858008.12558071,1,0.01
12555.819147087772,7866.219429381077,3145100526461.8765,1785,2000,0.8925,1.0,192000,39508275.97123181,1,0.01
12539.60584871676,7855.4649396042405,3137019416688.477,1748,2000,0.874,1.0,192000,40857393.69845967,1,0.01
12562.6943353326,7845.977284243595,3148620922321.97,1757,2000,0.8785,1.0,192000,38194416.07187928,1,0.01
12422.688221683704,7814.15772571556,3078784705133.544,1760,2000,0.88,1.0,192000,37325022.00014829,1,0.01
12569.815718543921,7829.129496064385,3152129005980.3423,1745,2000,0.8725,1.0,192000,39805623.71202334,1,0.01
12393.117075096405,7861.605632711216,3064103464915.629,1761,2000,0.8805,1.0,192000,38715258.70642727,1,0.01
12466.951258266125,7879.852052263238,3100747691880.3994,1732,2000,0.866,1.0,192000,39442304.60877723,1,0.01
12562.48141141036,7831.204449118477,3148441854922.1875,1758,2000,0.879,1.0,192000,37779971.873493865,1,0.02053525026457146
12552.93906877957,7856.657507400387,3143700991589.1826,1750,2000,0.875,1.0,192000,38063854.081989184,1,0.02053525026457146
12382.881066888776,7862.249982904923,3059032949571.4585,1764,2000,0.882,1.0,192000,40336196.11171599,1,0.02053525026457146
12538.733476572428,7860.027168750169,3136581514404.549,1681,2000,0.8405,1.0,192000,40017582.050433524,1,0.02053525026457146
