scheme,param,bits_mean,J_mean
ET,0.001,192000.0,3127320577250.3115
ET,0.003,192000.0,3127320577250.3115
ET,0.01,192000.0,3127320577250.3115
ET,0.03,192000.0,3127320577250.3115
ET,0.1,191964.8,3127722352789.9253
ET,0.3,189920.0,3120561660129.095
ET,1.0,11116.8,59362540185.769806
ET,3.0,0.0,8478.46059623251
PER,1.0,192000.0,3127320577250.3115
PER,2.0,96000.0,2995386609280.0894
PER,3.0,64032.0,2846624882306.036
PER,5.0,38400.0,2442400088611.689
PER,8.0,24000.0,2000693881849.1565
PER,10.0,19200.0,1676939635630.9226
PER,15.0,12864.0,1011709848136.981
PER,20.0,9600.0,641241906150.9323
PER,30.0,6432.0,213186904995.97656
PER,40.0,4800.0,128417693690.24107
