rms_err,energy,J_cost,N_tx,N_tx_attempt,tx_rate,tx_attempt_rate,bits_used,avg_qerr,failed,policy
12538.17617498648,7784.658431607607,3136274927888.6636,1647,1900,0.8235,0.95,182400,39872479.898165226,1,event
12551.63551973484,7771.362000911491,3143038729661.723,1662,1892,0.831,0.946,181632,40030663.97622332,1,event
12545.814591920462,7726.7694548474865,3140089039062.6714,1703,1908,0.8515,0.954,183168,42747490.48965287,1,event
12565.347293765652,7717.938483138178,3149932237464.767,1611,1887,0.8055,0.9435,181152,41570080.171246625,1,event
12457.26570951623,7779.842360697598,3095964531507.975,1651,1890,0.8255,0.945,181440,40657502.1367004,1,event
12366.477765852907,7779.348502044571,3050938897299.7935,1674,1897,0.837,0.9485,182112,41299945.32879051,1,event
12543.264086516481,7797.684587020232,3138828561324.2256,1684,1894,0.842,0.947,181824,41179593.39155633,1,event
12574.328738273061,7692.168267022659,3154429431539.428,1672,1876,0.836,0.938,180096,42854928.36482641,1,event
12527.682351272388,7803.607186714875,3131029789364.9233,1638,1888,0.819,0.944,181248,40357351.01774385,1,event
12544.878263000683,7835.093752845893,3139673123353.066,1700,1890,0.85,0.945,181440,41275078.56018522,1,event
12529.770474836061,7790.406483093431,3132057748457.4663,1603,1877,0.8015,0.9385,180192,42381174.27428451,1,event
12467.256187750167,7833.292735190083,3100928024047.701,1675,1895,0.8375,0.9475,181920,42291598.28354344,1,event
12540.252780222392,7826.107812528668,3137305301292.381,1659,1912,0.8295,0.956,183552,43135411.359697014,1,event
12347.142515586922,7723.4364783759975,3041417608267.5,1657,1888,0.8285,0.944,181248,41099336.89956145,1,event
12285.937468558452,7701.818133361051,3011306936127.2686,1615,1868,0.8075,0.934,179328,38700924.74083606,1,event
12577.572121139914,7695.774992045611,3156008554304.622,1622,1874,0.811,0.937,179904,40815454.83918844,1,event
12578.559542865425,7749.962693833748,3156562873209.8105,1670,1899,0.835,0.9495,182304,41718015.3045772,1,event
12502.631159358782,7760.358803267306,3118536105281.209,1679,1889,0.8395,0.9445,181344,40689857.447984405,1,event
12509.47039192022,7753.814088397836,3121938730297.4775,1643,1895,0.8215,0.9475,181920,42601882.67448204,1,event
12496.024151914628,7751.869662139317,3115226543818.472,1649,1901,0.8245,0.9505,182496,42461366.59549678,1,event
12568.929615386034,7699.405972595399,3151695449320.843,1696,1893,0.848,0.9465,181728,41489296.97270841,1,event
12446.804304151767,7692.957387596614,3090755159327.094,1705,1868,0.8525,0.934,179328,41243731.44880043,1,event
12441.341440835084,7750.636354433795,3087992233958.058,1586,1874,0.793,0.937,179904,40104746.094465144,1,event
12526.053329124125,7739.788333260687,3130205977933.73,1699,1898,0.8495,0.949,182208,41243410.97446525,1,event
12457.048723456946,7727.863446650251,3095868851523.201,1640,1891,0.82,0.9455,181536,42857583.481877945,1,event
12433.985151493025,7797.431475164614,3084394799309.849,1658,1893,0.829,0.9465,181728,40048900.71193072,1,event
12414.968110464175,7791.80274637479,3074986823398.7393,1670,1890,0.835,0.945,181440,39316785.51058283,1,event
12533.994684738615,7695.934925393898,3134207754984.111,1633,1880,0.8165,0.94,180480,41976371.1869211,1,event
12427.617082091017,7727.951248877784,3081197116364.368,1665,1897,0.8325,0.9485,182112,41317322.90288562,1,event
12506.164182175236,7776.273111896793,3120286765661.6865,1636,1891,0.818,0.9455,181536,42000157.9817359,1,event
12562.48141141036,7831.204449118477,3148441854922.1875,1758,2000,0.879,1.0,192000,37779971.873493865,1,periodic
12552.93906877957,7856.657507400387,3143700991589.1826,1750,2000,0.875,1.0,192000,38063854.081989184,1,periodic
12382.881066888776,7862.249982904923,3059032949571.4585,1764,2000,0.882,1.0,192000,40336196.11171599,1,periodic
12538.733476572428,7860.027168750169,3136581514404.549,1681,2000,0.8405,1.0,192000,40017582.050433524,1,periodic
12463.997524925084,7823.411519221973,3099298582165.033,1714,2000,0.857,1.0,192000,39251234.14737762,1,periodic
12413.508693708007,7858.271467943002,3074191524136.0645,1753,2000,0.8765,1.0,192000,39813175.86973389,1,periodic
12546.905697233105,7858.755014050292,3140648662294.644,1767,2000,0.8835,1.0,192000,39473834.879108146,1,periodic
12566.699953069177,7819.046884801846,3150586309744.278,1770,2000,0.885,1.0,192000,40667184.86395287,1,periodic
12583.729972835632,7865.160351918326,3159119157820.482,1741,2000,0.8705,1.0,192000,38515801.247572444,1,periodic
12564.903218213753,7828.249200945613,3149703227509.5728,1788,2000,0.894,1.0,192000,39056283.74561369,1,periodic
12516.267624844859,7889.675471035324,3125313570648.7437,1687,2000,0.8435,1.0,192000,39455544.25496591,1,periodic
12477.07454902284,7881.358641945496,3105806984136.0054,1723,2000,0.8615,1.0,192000,41145080.16050446,1,periodic
12522.288465572492,7835.642761617601,3128321575666.37,1752,2000,0.876,1.0,192000,40661852.98957881,1,periodic
12503.549448720612,7861.9733977050955,3118993165778.7827,1751,2000,0.8755,1.0,192000,39768029.484195225,1,periodic
12572.580182579844,7870.98036152189,3153505403632.7393,1737,2000,0.8685,1.0,192000,37835570.821749,1,periodic
12590.992839892451,7850.30657091009,3162745555254.727,1727,2000,0.8635,1.0,192000,38677717.3044809,1,periodic
12578.075602089835,7867.531826232539,3156321958766.219,1737,2000,0.8685,1.0,192000,40215020.011030875,1,periodic
12555.692695125117,7831.410973023203,3145099313241.6543,1769,2000,0.8845,1.0,192000,38762687.8989264,1,periodic
12541.785037205736,7862.565347210402,3138083579539.938,1727,2000,0.8635,1.0,192000,40856333.53175441,1,periodic
12531.547206226716,7862.519688658655,3132994092432.3477,1738,2000,0.869,1.0,192000,40645636.1301173,1,periodic
12579.015234527333,7865.45410926775,3156774102157.313,1808,2000,0.904,1.0,192000,39234047.69270021,1,periodic
12541.883598248278,7799.959315201088,3138154687312.532,1788,2000,0.894,1.0,192000,39936511.821705565,1,periodic
12404.435788277198,7862.856988153915,3069692821402.264,1691,2000,0.8455,1.0,192000,36858008.12558071,1,periodic
12555.819147087772,7866.219429381077,3145100526461.8765,1785,2000,0.8925,1.0,192000,39508275.97123181,1,periodic
12539.60584871676,7855.4649396042405,3137019416688.477,1748,2000,0.874,1.0,192000,40857393.69845967,1,periodic
12562.6943353326,7845.977284243595,3148620922321.97,1757,2000,0.8785,1.0,192000,38194416.07187928,1,periodic
12422.688221683704,7814.15772571556,3078784705133.544,1760,2000,0.88,1.0,192000,37325022.00014829,1,periodic
12569.815718543921,7829.129496064385,3152129005980.3423,1745,2000,0.8725,1.0,192000,39805623.71202334,1,periodic
12393.117075096405,7861.605632711216,3064103464915.629,1761,2000,0.8805,1.0,192000,38715258.70642727,1,periodic
12466.951258266125,7879.852052263238,3100747691880.3994,1732,2000,0.866,1.0,192000,39442304.60877723,1,periodic
12522.235820658581,7846.045841480227,3128337423229.411,1498,1661,0.749,0.8305,159456,38570147.55759274,1,random
12547.98163872324,7801.486681271761,3141210644924.962,1515,1657,0.7575,0.8285,159072,39643785.95500466,1,random
12387.964551311756,7812.211219167143,3061589759604.514,1389,1673,0.6945,0.8365,160608,39572198.35588806,1,random
12408.903121432286,7832.7244812055105,3071964211359.2153,1476,1682,0.738,0.841,161472,38523877.90329117,1,random
12456.84486113895,7844.391038996313,3095797983049.98,1423,1648,0.7115,0.824,158208,36988070.59870955,1,random
12231.448055717312,7826.501043977252,2984693957041.0264,1398,1645,0.699,0.8225,157920,39448280.03816522,1,random
12525.711010986643,7800.91798728444,3130083635101.278,1462,1641,0.731,0.8205,157536,39378063.9350069,1,random
12428.988706079479,7860.218974145377,3081904936351.5083,1430,1651,0.715,0.8255,158496,40914345.175691836,1,random
12456.959178807305,7868.121763868925,3095826710404.7715,1413,1613,0.7065,0.8065,154848,38130090.060570456,1,random
12542.697383278874,7855.622828941116,3138585342459.806,1493,1643,0.7465,0.8215,157728,38549999.72739671,1,random
12473.461414113592,7788.788303242008,3103994772897.289,1430,1646,0.715,0.823,158016,39260906.5340658,1,random
12530.708367516314,7835.291305908007,3132599106754.846,1469,1684,0.7345,0.842,161664,39441195.450898975,1,random
12480.695466176381,7846.714753938483,3107646027978.7925,1467,1657,0.7335,0.8285,159072,38846821.67988115,1,random
12554.147311417903,7815.241259992943,3144280674676.077,1445,1650,0.7225,0.825,158400,40142141.24369766,1,random
12532.699377370236,7846.710775719103,3133563925823.1,1466,1657,0.733,0.8285,159072,40680857.50184551,1,random
12585.960914878093,7822.108963440274,3160266803881.768,1465,1663,0.7325,0.8315,159648,38459089.291859746,1,random
12419.325189743578,7873.208731460947,3077141969002.857,1447,1647,0.7235,0.8235,158112,39360530.04562583,1,random
12398.655524518472,7873.620011509281,3066926341937.788,1484,1668,0.742,0.834,160128,38821066.27520161,1,random
12226.938225232423,7872.212292545778,2982540496955.7217,1434,1638,0.717,0.819,157248,38376102.756140575,1,random
12370.423940328123,7875.013376182821,3052953901372.433,1434,1648,0.717,0.824,158208,38841464.920824066,1,random
12497.129704814422,7875.93257522262,3115832170635.049,1475,1654,0.7375,0.827,158784,38486497.23399013,1,random
12465.328444604482,7857.280717329316,3099925840057.7466,1484,1655,0.742,0.8275,158880,40854206.981413394,1,random
12335.311772643146,7826.107190478107,3035660989166.746,1440,1661,0.72,0.8305,159456,39356773.55250039,1,random
12525.35636907971,7868.9073573401765,3129882207114.291,1475,1649,0.7375,0.8245,158304,38584079.80171345,1,random
12462.748831229117,7818.01859742038,3098732788291.52,1429,1671,0.7145,0.8355,160416,39917979.08693762,1,random
12540.686908084805,7834.3380737702555,3137557263081.3936,1496,1680,0.748,0.84,161280,39292828.17840144,1,random
12529.402384874551,7880.438716592488,3131932749763.231,1449,1668,0.7245,0.834,160128,39641372.29066418,1,random
12434.005045890808,7850.690611483415,3084407245485.086,1440,1632,0.72,0.816,156672,39079536.91527465,1,random
12295.891561007027,7846.358184151348,3016311475916.666,1490,1689,0.745,0.8445,162144,37490257.182835564,1,random
12385.14934114186,7814.71450399533,3060222576584.8823,1462,1667,0.731,0.8335,160032,38992984.483704545,1,random
